"LURN_SAK","INCIDENT_DATE","CATEGORY","STAT","STAT_DESC","ADDRESS","STREET","CITY","ZIP","X_COORDINATE","Y_COORDINATE","INCIDENT_ID","REPORTING_DISTRICT","SEQ","UNIT_ID","UNIT_NAME","DELETED"
17725676,"2016-05-03 21:56:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","2200 120TH ST, LOS ANGELES, CA 90059","2200 120TH ST","LOS ANGELES","90059",6491210.4567627497,1794480.7180328565,"016-06792-2136","2136","06792","CA01900V3","CENTURY","N"
17722488,"2016-04-30 12:30:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","2600 CALIFORNIA ST, HUNTINGTON PARK, CA","2600 CALIFORNIA ST","HUNTINGTON PARK",,6494056.2993403701,1812416.3649722415,"016-06632-2178","2178","06632","CA01900V3","CENTURY","N"
17720395,"2016-04-28 16:17:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","4200 E COMPTON BLVD, COMPTON, CA","4200 E COMPTON BLVD","COMPTON",,6502036.3188514896,1784710.3867870769,"016-05102-2851","2851","05102","CA0190042","COMPTON","N"
17715753,"2016-04-23 21:28:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","87TH PL & MARY AVE, LOS ANGELES, CA 90002","87TH PL & MARY AVE","LOS ANGELES","90002",6485923.0342267528,1807271.2567835846,"016-06224-2174","2174","06224","CA01900V3","CENTURY","N"
17713697,"2016-04-21 18:20:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","89TH ST & BUDLONG AVE, LOS ANGELES, CA 90044","89TH ST & BUDLONG AVE","LOS ANGELES","90044",6471939.5979335466,1806826.2836089537,"016-03565-0370","0370","03565","CA0190003","SOUTH LOS ANGELES","N"
17711048,"2016-04-20 02:03:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1700 W 125TH ST, LOS ANGELES, CA","1700 W 125TH ST","LOS ANGELES",,6468088.9137845598,1793122.9164388129,"016-03507-0377","0377","03507","CA0190003","SOUTH LOS ANGELES","N"
17710742,"2016-04-20 01:22:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","1900 E FIRESTONE BLVD, LOS ANGELES, CA 90001","1900 E FIRESTONE BLVD","LOS ANGELES","90001",6489387.2751676003,1807890.9541878579,"016-06007-2175","2175","06007","CA01900V3","CENTURY","N"
17710193,"2016-04-19 21:01:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","13100 VALLEY BLVD, BASSETT, CA","13100 VALLEY BLVD","BASSETT",,6562000.3875795929,1840928.488063036,"016-04885-1462","1462","04885","CA0190014","INDUSTRY","N"
17708929,"2016-04-19 12:07:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","233RD ST E & N HIGHWAY 18, LLANO, CA","233RD ST E & N HIGHWAY 18","LLANO",,6648146.5048789969,2003911.3828615076,"016-05564-2670","2670","05564","CA01900W9","PALMDALE","N"
17704514,"2016-04-15 02:14:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","3400 N PACIFIC PL, LONG BEACH, CA 90806","3400 N PACIFIC PL","LONG BEACH","90806",6498735.3546051411,1763535.6090490471,"016-01878-6009","6009","01878","CA0190031","TRANSIT SERV BUR","N"
17701649,"2016-04-13 00:22:00","CRIMINAL HOMICIDE","011","CRIMINAL HOMICIDE: Murder","228TH ST & DOLORES ST, CARSON, CA","228TH ST & DOLORES ST","CARSON",,6478941.9930608096,1756581.6262107489,"016-03951-1624","1624","03951","CA0190016","CARSON","N"
